作品名称,slug,年份／媒介,女女关系位置,女女恋爱位置,女女关系最高明确度,明确女女交往,明确女女欲望,接受未确认方向,女女关系主线,官方字面百合／GL,官方女女恋爱表述,官方来源层级,官方来源位置,男性恋爱线,内容提示,Bangumi 条目状态,Bangumi Rank,Bangumi 百合标签比例
猫咪日常,nyanko_days_tv_2017,2017 TV 短篇,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,可见宣传,无,极短篇日常喜剧、猫咪拟人外观、友子与あづみ的亲密友情、猫咪争吵与和好；第 1–8 话日文、第 9–12 话英文字幕均有覆盖。,有精确条目,6263,0.09038530788620813
歌愈少女,healer_girl_tv_2022,2022 TV,主线,局部,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,医疗与手术支援、考试压力、师徒权力差异、嫉妒和短暂分离。,有精确条目,6309,0.07596785975164354
茜色少女,akanesasu_shoujo_tv_2018,2018 TV,主线,主线,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本、原作,出版渠道、故事／角色页、可见宣传,无,平行世界灾难与战斗、哥哥失踪和创伤、强制婚约、泳装／内衣与身体发育笑料及TV／手机游戏边界。,有精确条目,6347,0.07114493712772998
月影特工,release_the_spyce_tv_2018,2018 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本,故事／角色页,无,间谍行动与暴力、药物控制、绑架和人口贩卖背景、假背叛、死亡误导、记忆消除、师徒分离,有精确条目,6406,0.11518753843000615
女皇之刃 流浪的战士,queens_blade_wandering_tv_2009,2009 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,所核未见,企划、范围内版本,出版渠道、可见宣传,副线,成人向裸露与身体性化、战斗伤害、监禁和魔法支配、性骚扰与带情色意味的强迫接触、姐妹关系中的单向性化欲望与控制行为,有精确条目,6414,0.05619146722164412
灵感少女！,rekan_tv_2015,2015 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,未知,灵异、死亡与告别主题、校园喜剧；未作视频复核。,有精确条目,6427,0.12153518123667377
魔法少女艾丽娜,mahou_shoujo_erena_2011,2011 OVA,主线,未知,未知,否,否,否,是,所核未见,所核未见,范围内版本,可见宣传,未知,成人向；未作正片核验。,有精确条目,6436,0.06645898234683281
指名！,cue_tv_2022,2022 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,试镜与职业压力、成员竞争、家庭期待、被拒绝的异性婚约安排、离开与留学。,有精确条目,6480,0.04947773501924134
转生成为了只有乙女游戏破灭Flag的邪恶大小姐X,hamefura_x_tv_2021,2021 TV,重要副线,重要副线,明确欲望,否,是,是,否,所核未见,是,范围内版本,故事／角色页、可见宣传,并行,绑架与非法拘禁、黑暗魔法、家庭创伤、嫉妒与占有式玩笑、婚约及多角告白、角色对过去创伤的回忆。,有精确条目,6506,0.04279015240328253
星灵感应,stardust_telepath_tv_2023,2023 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,是,范围内版本,故事／角色页、可见宣传,未知,社交焦虑、退学与不登校压力、竞赛失败、家庭与祖父回忆、外星人设定及额头相碰的情绪读取。,有精确条目,6557,0.15115163147792707
莉可丽丝,lycoris_recoil_tv_2022,2022 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,无,枪战与恐怖袭击、秘密组织利用未成年少女、濒死与人工心脏、绑架和人质、家庭式操控、杀人与拒绝杀人的伦理冲突、角色间肢体打斗。,有精确条目,6605,0.1303359122030798
暂停！让我查攻略,pause_let_me_check_walkthrough_web_2022,2022 WEB,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,现实职场过劳、异世界战斗与喜剧化暴力、角色数据覆盖和人格消失风险、师徒／教学关系及年龄与经验差异。,有精确条目,6637,0.055347091932457786
约会大作战 赤黑新章：红或白,date_a_bullet_nightmare_queen_ova_2021,2021 OVA,主线,主线,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,战斗、杀戮游戏、血迹、死亡威胁、报复、女性角色性化设计；字幕文本已核对，未作视频视听复核。,有精确条目,6650,0.013924050632911392
citrus～柑橘味香气～,citrus_tv_2018,2018 TV,主线,主线,明确交往,是,是,是,是,是,是,范围内版本,HTML 元数据、可见宣传,副线,没有预先询问或伴随挣扎声的接吻、亲密动作中的非语言／不明确许可、师生权力利用、工具性婚约、以照片胁迫接触陌生成年人、因父母再婚形成的继姐妹恋爱、嫉妒与操纵、针对同性欲望的污名化措辞、涉及未成年角色的性话题。,有精确条目,6662,0.18540632266985105
打了300年的史莱姆，不知不觉就练到了满级,slime_300years_tv_2021,2021 TV,主线,局部,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,异世界战斗、亲子式照料、家庭成员加入，以及对亲吻和交往的喜剧化玩笑。,有精确条目,6666,0.09066932782094234
海物语～有你陪伴～,umi_monogatari_tv_2009,2009 TV,主线,主线,明确欲望,否,是,是,是,所核未见,是,范围内版本,故事／角色页、可见宣传,副线,姐妹分离与操控、黑暗力量附身、战斗和牺牲威胁、异性分手与复合。,有精确条目,6671,0.13739946380697052
女皇之刃 女王败北,queens_blade_vanquished_ova_2013,2013 OVA,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,相邻版本、原作,出版渠道、可见宣传,副线,成人向裸露与持续性化、战斗伤害、囚禁、药物或诅咒控制、奴役训练、强迫接触、羞辱性支配、复仇与死亡威胁。,有精确条目,6684,0.06054421768707483
杀戮公主,murder_princess_ova_2007,2007 OVA,主线,未知,未知,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页,未知,政变、护卫遇害、战斗暴力、坠崖、身体／灵魂交换与身份错位。,有精确条目,6723,0.11270236612702367
如果烧陶的话也做个马克杯吧 二番窑,yakunara_mugcup_second_season_tv_2021,2021 TV 短篇,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,创作压力、比赛失落、亡母记忆与家庭传承,有精确条目,6767,0.055323590814196244
あらいめんとゆーゆー THE ANIMATION,alignment_yuyu_animation_ova_2008,2008 OVA,重要副线,重要副线,明确欲望,否,是,是,否,所核未见,所核未见,原作,出版渠道,并行,成人向露骨性描写、鬼魂与校园设定、女性间性化互动、异性恋慕、变性／双性特征、触手及可能的同意状态不明；未作画面复核。,有精确条目,6774,0.09703504043126684
放学后桌游俱乐部,saikoro_club_tv_2019,2019 TV,主线,未知,未知,否,否,否,是,所核未见,是,范围内版本,故事／角色页、可见宣传,副线,社交退缩与孤独、校园排斥、温泉与泳装情境、亲子沟通压力、比赛与公开活动的紧张感、局部单向好感,有精确条目,6783,0.04223826714801444
刀使的巫女,toji_no_miko_tv_2018,2018 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,未知,刀剑战斗、死亡与牺牲、荒魂控制、家族创伤、分离与重逢。,有精确条目,6897,0.11238383401772206
红白黑黄 第五季,rwby_volume_5_web_2017,2017 WEB,主线,重要副线,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本,可见宣传,副线,幻想战斗、死亡与重伤、歧视和政治暴力、胁迫与背叛、跟踪及暴力威胁、父母抛弃、婚姻利用与家庭创伤。,有精确条目,6901,0.0367965367965368
失忆煽动WIXOSS,lostorage_incited_wixoss_tv_2016,2016 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,是,范围内版本,故事／角色页、可见宣传,副线,记忆硬币与高压卡牌战斗、失忆和人格／身体置换、校园孤立与家庭经济压力、操控和强迫参战、铃子—千夏的依赖与决裂、少女角色的暴力和死亡风险、男性角色对白井对千夏的单向倾慕。,有精确条目,6939,0.09155261915998113
侦探歌剧 少女福尔摩斯 TD,milky_holmes_td_tv_2015,2015 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,未知,偶像行业压力与竞争、歌声被夺与身体控制、舞台与案件危险、团队争执、亲人离世回忆；公开分话摘要不覆盖全部台词。,有精确条目,6948,0.08333333333333333
我家师傅没有尾巴,my_master_has_no_tail_tv_2022,2022 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,师徒权力差与破门惩戒、职业竞争与经济压力、绑架／诬陷／勒索威胁、舞台压力，以及落语段子的成人关系或花街语境。,有精确条目,6953,0.05357142857142857
魔法少女奈叶ViVid,nanoha_vivid_tv_2015,2015 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,未知,儿童与青少年格斗、训练伤害、成人化变身与身体展示、洗澡镜头、家庭创伤和古代记忆。,有精确条目,6968,0.08711256117455139
一骑当千 XTREME XECUTOR,ikki_tousen_xtreme_xecutor_tv_2010,2010 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,副线,成人向性化、暴力、绑架与精神操控,有精确条目,6979,0.06835799859055673
NEKOPARA,nekopara_tv_2020,2020 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,未知,饲主和店铺劳动关系、围绕男性店主的服务框架、性化笑料、走失幼猫和轻度危险。,有精确条目,6989,0.02547146705853539
一骑当千 Dragon Destiny,ikki_tousen_dragon_destiny_tv_2007,2007 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,是,范围内版本,出版渠道、故事／角色页、可见宣传,副线,成人向裸露、爆衣与战败羞辱、格斗伤害和死亡威胁、绑架拷问、人质处境、精神操控、龙之力导致的非自愿战斗、曹操对关羽的占有式执着与权力不对等。,有精确条目,7032,0.049855072463768114
宅饮。,takunomi_tv_2018,2018 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,成年人饮酒与醉酒、身体与更衣笑料、职场与求职压力、合租生活的隐私边界喜剧。,有精确条目,7036,0.08516935218678066
装神少女小缠,soushin_shoujo_matoi_tv_2016,2016 TV,重要副线,缺席,非恋爱,否,否,否,否,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,未知,超自然威胁、附身、战斗与受伤、家庭分离和丧失。,有精确条目,7045,0.029482344874871443
妖幻三重奏,ayakashi_triangle_tv_2023,2023 TV,主线,未知,未知,否,否,否,是,所核未见,是,范围内版本,故事／角色页、可见宣传,并行,性别转换、性化身体喜剧、妖怪袭击与战斗、恋爱相互性未确认。,有精确条目,7065,0.04910793146087264
一骑当千 Great Guardians,ikki_tousen_great_guardians_tv_2008,2008 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,是,范围内版本,故事／角色页,副线,成人向裸露与衣物撕裂、格斗伤害、绑架失踪、幻术和精神操控、非自愿行动、战败羞辱与权力不对等。,有精确条目,7095,0.04358502148557397
因为太怕痛就全点防御力了。,bofuri_tv_2020,2020 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,VRMMO 战斗、怪物攻击、毒、身体变形喜剧、公会竞争。,有精确条目,7106,0.04049624287659489
结城友奈是勇者 啾噜！,yuuki_yuuna_churutto_tv_2021,2021 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,短篇喜剧、角色被排斥的回忆、料理失败与身体笑料。,有精确条目,7115,0.07336956521739131
摇滚乃是淑女的爱好,rock_is_a_ladys_hobby_tv_2025,2025 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,可见宣传,未知,激烈乐队争执、粗口和攻击性手势；家庭再婚与阶层压力；继姐妹敌意；舞台竞争、失败、退队威胁与自我价值否定；夸张支配／服从玩笑和性化镜头。,有精确条目,7126,0.07229639519359146
天使特警2,kiddy_girland_tv_2009,2009 TV,主线,主线,明确交往,是,是,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,副线,科幻战斗、爆炸和死亡威胁；记忆植入、洗脑、复制人与身体实验；未成年外观角色的泳装／内衣服务性画面；短暂单向迷恋与嫉妒；迪亚的能力增幅亲吻；兄妹式关系和男性控制。,有精确条目,7132,0.11627906976744186
漫研部,aimai_mi_tv_2013,2013 TV,主线,局部,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本,出版渠道、可见宣传,未知,高速荒诞、夸张伤害与死亡笑料、身体变化、排泄与性化笑话、威胁和强制性恶作剧。,有精确条目,7167,0.03586399627387052
恶魔之谜,akuma_no_riddle_tv_2014,2014 TV,主线,主线,明确欲望,否,是,是,是,所核未见,是,范围内版本,可见宣传,无,持续暗杀与死亡威胁、刀枪和爆炸、流血及重伤、被迫参加生存游戏、家庭死亡与创伤、制度操纵、童年虐待和利用、自我牺牲式行动、假死及依赖巧合的生还揭晓。,有精确条目,7170,0.14665471923536438
恋姬无双,koihime_musou_tv_2008,2008 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,是,范围内版本、原作,出版渠道、故事／角色页、可见宣传,副线,全员女性历史幻想、R+／Ecchi 性化笑料、裸露暗示、曹操提出共度一夜的权力交换、盗贼与绑架、战斗和男性冒名者诱导。,有精确条目,7269,0.11215203426124197
ViVid Strike!,vivid_strike_tv_2016,2016 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,是,范围内版本,故事／角色页、可见宣传,无,未成年格斗、重击伤害、孤儿与收养、校园欺凌、魔法变身、身体展示。,有精确条目,7273,0.09981515711645102
美妙射击部,rifle_is_beautiful_tv_2019,2019 TV,主线,局部,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本,故事／角色页,无,竞技射击与枪械意象、比赛压力与失利、社团争执、喜剧式求婚和恋爱话题,有精确条目,7286,0.09352112676056339
女皇之刃 叛乱,queens_blade_rebellion_tv_2012,2012 TV,主线,未知,未知,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,未知,成人向裸露与性化、战斗伤害、宗教审判、强制招募与实验、拘束和怪物威胁。,有精确条目,7292,0.05049911920140928
战翼的希格德莉法,sigrdrifa_tv_2020,2020 TV,主线,局部,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,未知,战争与空战、年轻女武神参战、负伤与死亡、姐姐死亡后的哀伤、神祇操纵、泳装战斗和身体凝视。,有精确条目,7298,0.08053040103492885
洲崎西 THE ANIMATION,suzakinishi_animation_tv_2015,2015 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,高速吐槽、胸部与内衣笑料、如厕与身体尴尬、强行亲近的喜剧,有精确条目,7315,0.03224419604471195
舰队Collection 剧场版,kancolle_movie_2016,2016 剧场动画,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,出版渠道、可见宣传,无,战争与沉没、死亡循环、身份变化、失落和告别、深海化、强烈分离焦虑。,有精确条目,7323,0.06469648562300319
兔龟,usakame_tv_2016,2016 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,高速短篇、网球竞争、毕业与分离焦虑、饮酒及荒诞身体笑料；未作视频复核。,有精确条目,7344,0.09551208285385501
南镰仓高校女子自行车社,minami_kamakura_cycling_tv_2017,2017 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,自行车训练、比赛压力、体力极限、肩部疼痛、夜间骑行与离别误会。,有精确条目,7349,0.07801418439716312
我的推是坏人大小姐。,wataoshi_tv_2023,2023 TV,主线,主线,明确欲望,否,是,是,是,是,是,范围内版本,故事／角色页、可见宣传,副线,反复追求与阶级差异；以戏剧化方式处理拒绝、占有和跟随；魔法战斗、校园霸凌、政治冲突、家族与国家暴力。,有精确条目,7371,0.17446074201898187
极乐院女子高寮物语,gokujou_girls_dorm_tv_2012,2012 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,是,范围内版本,故事／角色页、可见宣传,无,强行脱衣与内衣、裸露和身体羞辱、性化恶作剧、教师越界亲吻、未成年角色误饮酒、受影响状态下的接吻提议。,有精确条目,7410,0.11515151515151516
随兴旅-That's Journey-,zatsu_tabi_tv_2025,2025 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,未知,创作受挫、旅行疲劳、前后辈误会和创作者朋友间的争执与和解。,有精确条目,7418,0.028518371136755538
偶像大师 XENOGLOSSIA,idolmaster_xenoglossia_tv_2007,2007 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,是,相邻版本、范围内版本,出版渠道、故事／角色页、可见宣传,副线,机战伤亡与破坏、背叛与团队分裂、强制实验和改造、权力不对等、人与有意识机器的明确恋爱。,有精确条目,7445,0.03781979977753059
强袭魔女 OVA,strike_witches_ova_2007,2007 OVA,局部,缺席,非恋爱,否,否,否,否,所核未见,所核未见,范围内版本、原作,出版渠道、可见宣传,无,魔法军事战斗设定、队内模拟射击、未成年角色参战语境、短片材料与画面复核缺失、腿部武器和内衣式服装设计、宣传性服务画面；同 DVD 的基地探访特典不在范围内,有精确条目,7487,0.09448818897637795
Love Live! Superstar!! 第三季,love_live_superstar_season_3_tv_2024,2024 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,毕业与成员分离压力、竞赛与舞台失败、异国旅行、家庭冲突、姐妹关系破裂与修复、过度训练和公开演出压力。,有精确条目,7491,0.0644789867587795
偶像选拔,selection_project_tv_2021,2021 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,选拔淘汰与舞台压力、亲人离世与心脏移植背景、竞争冲突、团队去留与公开表演焦虑,有精确条目,7534,0.06034889203206035
漫画少女,mangirl_tv_2013,2013 TV,主线,未知,未知,否,否,否,是,所核未见,所核未见,范围内版本,可见宣传,未知,短篇职场喜剧、写真与泳装笑料、赶稿压力、御宅和漫画业界梗；第14项为未播附加集。,有精确条目,7536,0.05236593059936909
处刑少女的生存之道,shokei_shoujo_tv_2022,2022 TV,主线,主线,明确欲望,否,是,是,是,所核未见,是,范围内版本、原作,故事／角色页、可见宣传,无,计划处刑与欺骗、反复死亡、暴力威胁、权力不对等、嫉妒与浴场相关台词。,有精确条目,7538,0.14526268522676247
噬魂师NOT！,soul_eater_not_tv_2014,2014 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,是,范围内版本,故事／角色页,副线,校园战斗、超自然威胁、受伤与精神控制、女子宿舍性化笑料、嫉妒与搭档选择压力、局部异性心动,有精确条目,7540,0.08945046129161653
一叠间漫画咖啡屋生活！,hitokura_manga_cafe_tv_2026,2026 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,卖肉与内衣／泳装情境、女高中生同住和宿舍劳动、身份误会与内疚、游戏与网络直播、家庭与学校压力；不涉及正篇确认交往,有精确条目,7564,0.055512522592305706
一骑当千,ikki_tousen_tv_2003,2003 TV,重要副线,重要副线,明显但未确认,否,否,是,否,所核未见,所核未见,企划、范围内版本,出版渠道、可见宣传,并行,裸露、爆衣、战败羞辱、格斗伤害、拷问、角色死亡、追随死亡意向、精神控制与命运强迫。,有精确条目,7616,0.05244299674267101
突击莉莉 BOUQUET,assault_lily_bouquet_tv_2020,2020 TV,主线,主线,明确欲望,否,是,是,是,所核未见,所核未见,—,—,无,未成年战斗员与军事化教育、怪物袭击和战斗伤害、重要人物死亡与长期哀恸、失控状态及误伤恐惧、人工生命被实验和非人化、追捕与拘禁威胁、儿童形象角色死亡、精神幻象与自我憎恨、身体化笑料和集体沐浴画面。,有精确条目,7628,0.14375261178437107
鬼斩,onigiri_tv_2016,2016 TV,主线,未知,未知,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,未知,超短篇战斗喜剧、夸张身体与性暗示笑料、奇幻战斗、饮酒笑料、男の娘与性别表现的喜剧化处理,有精确条目,7646,0.05886909372579396
女武神驱动 美人鱼,valkyrie_drive_mermaid_tv_2015,2015 TV,主线,主线,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本,访谈／评论、故事／角色页、可见宣传,无,成人向裸露与性化接触、以性刺激触发战斗、监禁与强迫风险、身体控制、创伤、暴力和权力不对等。,有精确条目,7659,0.14069905213270142
玻璃之花与崩坏的世界,garakowa_movie_2016,2016 剧场动画,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,可见宣传,无,病毒清除、失忆、虚拟世界、身份揭示、分离与牺牲。,有精确条目,7675,0.06953066799106035
御神乐学园组曲,mikagura_school_suite_tv_2015,2015 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,是,范围内版本,故事／角色页,副线,夸张的“喜欢可爱女孩”笑料、游戏角色告白桥段、异能对战造成的受伤与压力。英文字幕为文本审读，未作说话人或画面同步复核。,有精确条目,7688,0.0867003367003367
美幸梦游仙境,miyuki_wonderland_ova_1995,1995 OVA,主线,主线,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本,可见宣传,未知,高中生主角、性化服装与裸露、女性角色围绕美幸的公开追逐／捉弄描述、镜中自我亲吻与成人向服务性笑料。,有精确条目,7691,0.12239221140472879
魔法少女特殊战明日香,magical_asuka_tv_2019,2019 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,战争与创伤、恐怖袭击、枪械与杀戮、酷刑和肢解、性暴力威胁、儿童虐待、校园欺凌、药物与强迫、残酷的战后动员；漫画后续不在范围内,有精确条目,7698,0.05042016806722689
面包带来和平！,pan_de_peace_tv_2016,2016 TV,主线,局部,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本、原作,访谈／评论、出版渠道、可见宣传,无,三分钟短篇节奏、身体和服装笑料、竞争性玩笑、未成年人角色的泳池与睡衣场景。,有精确条目,7716,0.11356660527931246
TSF物语,tsf_monogatari_ova_2011,2011 OVA,未知,未知,未知,否,否,否,否,所核未见,所核未见,范围内版本,出版渠道,未知,成人向露骨内容、身体／性别变化、对变化后身体的物化、可能的强制或同意边界不明；未作画面复核。,有精确条目,7720,0.04156479217603912
なりゆき→パパ活GIRLS!! THE ANIMATION,nariyuki_papakatsu_girls_ova_2018,2018 OVA,未知,未知,未知,否,否,否,否,所核未见,所核未见,—,—,未知,公开分级显示成人向内容；MAL 简介提及男友、客户和补偿约会等成人主题，未作逐场复核。,有精确条目,7749,0.05981112277019937
圣痕炼金士,seikon_no_qwaser_tv_2010,2010 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,是,范围内版本,故事／角色页,副线,成人向性化、乳房／圣乳机制、主从与身体控制、霸凌、非自愿或同意不明的亲密处境、未成年角色性化、暴力、死亡及宗教冲突。,有精确条目,7775,0.021389645776566758
打了300年的史莱姆，不知不觉就练到了满级 第二季,slime_300years_season_2_tv_2025,2025 TV,主线,局部,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,家庭式共同生活、象征性姐妹婚礼、佩可拉的独占式生日邀请、异世界战斗与轻度身体喜剧；这些元素不等同于正式交往。,有精确条目,7796,0.08934524603280437
穿透幻影的太阳,taiyo_no_oushi_tv_2013,2013 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,魔物袭击、战斗伤害、死亡与消失、亲属创伤、嫉妒和精神操纵、恶魔化身体变化、未成年少女承担处刑任务。,有精确条目,7800,0.06311018131101813
末世二轮之旅,end_of_world_bicycle_tv_2025,2025 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,末世与人类可能灭绝、危险骑行和坠落、暴风雨与洪水、动物袭击、枪械及生存风险、AI 维修故障、孤独与死亡记忆。,有精确条目,7802,0.04404731940599044
女子高中生,joshikousei_tv_2019,2019 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,副线,无对白叙事、对未成年女高中生腿部／湿衣的镜头化性化笑料、男性角色的单集凝视与笨拙接近、轻微身体危险与日常恶作剧。,有精确条目,7842,0.05183199285075961
简单易懂的现代魔法,yoku_wakaru_gendai_mahou_tv_2009,2009 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,访谈／评论、故事／角色页、可见宣传,无,魔法战斗与受伤、时间错位、未成年人遇险、泳装与身体笑料、同居家庭喜剧,有精确条目,7843,0.031706448165301035
绝灭危愚少女,amazing_twins_ova_2014,2014 OVA,主线,局部,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本、原作,访谈／评论、故事／角色页、可见宣传,副线,超能力战斗、绑架、药物强化、能力实验、排斥与自我消失愿望、失去身体及姐妹失联恐惧、身体检查相关性化玩笑。,有精确条目,7865,0.08964451313755796
GO!GO!575,gogo575_tv_2014,2014 TV,主线,局部,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,落水、弄湿制服与风筝惊吓等轻度事故笑点；留宿、共同洗澡、互相洗背和换衣的暧昧／窥探式喜剧；每话篇幅很短。,有精确条目,7870,0.1246684350132626
22/7,nanabun_no_nijuuni_tv_2020,2020 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,解散与失业压力、偶像行业过劳、身体不适、泳装拍摄要求、家庭创伤、成员分离、对未成年偶像的管理与监视。,有精确条目,7913,0.04644808743169399
里世界郊游,otherside_picnic_tv_2021,2021 TV,主线,主线,明显但未确认,否,否,是,是,是,所核未见,范围内版本、原作,出版渠道、故事／角色页、可见宣传,无,都市传说与怪物、枪械和战斗、失踪与死亡威胁、眼睛和身体变化、心理创伤、军事行动、孤立与危险求生。,有精确条目,7925,0.1396405293304365
刀使巫女 刻印一闪的灯火 OVA,toji_no_miko_kizuna_ova_2021,2021 OVA,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,刀剑战斗、荒魂伤害与追捕、医疗休养、敌我身份冲突、短篇结尾的悬念。,有精确条目,7928,0.08454810495626822
攀岩！ -Sport Climbing Girls-,iwakakeru_tv_2020,2020 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,运动伤病、竞技压力、身体展示、尖锐竞争语言。,有精确条目,8013,0.04400694846554719
闪乱神乐 SHINOVI MASTER -东京妖魔篇-,senran_kagura_tokyo_tv_2018,2018 TV,主线,未知,未知,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,未知,成人向裸露与性化服务、衣物破坏及强制战斗状态、忍者与妖魔战斗、暴力与重伤风险、拘束／威胁、家族身世、创伤与正义观冲突。,有精确条目,8015,0.07334525939177101
幻想玩偶,fantasista_doll_tv_2013,2013 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本、原作,出版渠道、故事／角色页,无,未成年角色参与幻想战斗、主人—Doll 权力不对等、人工人格与记忆控制、被遗弃经历、服务性服装与性化喜剧。,有精确条目,8049,0.10027662517289074
魔法纪录 魔法少女小圆外传 2nd SEASON -觉醒前夜-,magia_record_s2_tv_2021,2021 TV,主线,局部,明显但未确认,否,否,是,是,所核未见,是,范围内版本,故事／角色页、可见宣传,无,魔法战斗、死亡与失踪风险、悲伤与内疚、梦境和记忆操控、组织控制、强制招募、身份消除、创伤与牺牲。,有精确条目,8061,0.07473420888055034
