作品名称,女女关系层级,百合归档结论,女女恋爱位置,女女关系最高明确度,关系构成,身份依据类型,官方字面百合／GL,官方女女恋爱表述,官方来源层级,官方来源位置,阅读层级,男性恋爱线,内容提示,Bangumi 条目状态,Bangumi Rank,Bangumi 百合标记比例,Bangumi 维基百合公共标签,Anime-Planet GL 标签,AniList Yuri 相关度,MyAnimeList Girls Love 标签
漫研部,主线,文类内百合,局部,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本,出版渠道、可见宣传,正篇事实／强推断／读者解读,无,高速荒诞、夸张伤害与死亡笑料、身体变化、排泄与性化笑话、威胁和强制性恶作剧。,有可对应条目,7171,0.03578066914498141,有,无,0,无
恶魔之谜,主线,文类内百合,主线,明确女女恋爱欲望,多组同质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,可见宣传,正篇事实＋强推断＋读者解读,无,持续暗杀与死亡威胁、刀枪和爆炸、流血及重伤、被迫参加生存游戏、家庭死亡与创伤、制度操纵、童年虐待和利用、自我牺牲式行动、假死及依赖巧合的生还揭晓。,有可对应条目,7177,0.14673022493669,有,有,73,有
天使特警2,主线,文类内百合,主线,明确女女交往关系,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,副线,科幻战斗、死亡威胁、记忆植入、洗脑、身体实验、泳装与内衣服务性画面、强迫亲密和关系认知胁迫。,有可对应条目,7194,0.11647254575707154,有,无,79,无
恋姬无双,主线,文类内百合,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本、原作,出版渠道、故事／角色页、可见宣传,正篇事实／强推断／读者解读,副线,全员女性历史幻想、R+／Ecchi 性化笑料、裸露暗示、曹操提出共度一夜的权力交换、盗贼与绑架、战斗和男性冒名者诱导。,有可对应条目,7270,0.11191239316239317,有,无,0,无
ViVid Strike!,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,是,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,未成年角色格斗伤害、校园欺凌、孤儿与收养经历、魔法变身和身体展示。,有可对应条目,7280,0.1,有,无,62,无
女皇之刃 叛乱,主线,文类内百合,局部,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,副线,成人向裸露与性化、战斗伤害、宗教审判、拘禁与越界接近、强制招募与实验、怪物威胁。,有可对应条目,7297,0.05035128805620609,有,无,0,无
美妙射击部,主线,文类内百合,局部,明确女女恋爱欲望,多组异质关系,明确身份自述,所核未见,所核未见,范围内版本,故事／角色页,正篇事实／强推断／读者解读,无,竞技射击与枪械意象、比赛压力与失利、社团争执、喜剧式求婚和恋爱话题,有可对应条目,7302,0.09341586944288126,有,无,0,无
战翼的希格德莉法,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,副线,战争与空战、年轻女武神参战、负伤与死亡、亲人哀伤、神祇操纵、泳装战斗和身体凝视。,有可对应条目,7303,0.08045234248788369,有,无,0,无
洲崎西 THE ANIMATION,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,高速吐槽、胸部与内衣笑料、如厕和身体尴尬、闻头发、间接接吻及强行亲近的喜剧。,有可对应条目,7321,0.03223033949290933,有,无,79,无
舰队Collection 剧场版,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,出版渠道、可见宣传,正篇事实／强推断／读者解读,无,战争与沉没、死亡循环、身份变化、失落和告别、深海化、强烈分离焦虑。,有可对应条目,7324,0.0645933014354067,有,无,0,无
南镰仓高校女子自行车社,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,自行车训练、比赛压力、体力极限、肩部疼痛、夜间骑行与离别误会。,有可对应条目,7352,0.07792207792207792,有,无,0,无
兔龟,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,高速短篇、网球竞争、毕业与分离焦虑、饮酒及荒诞身体笑料；未作视频复核。,有可对应条目,7364,0.09540229885057472,有,无,0,无
我的推是坏人大小姐。,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,明确身份自述,是,是,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断,副线,反复追求与阶级差异；以戏剧化方式处理拒绝、占有和跟随；魔法战斗、校园霸凌、政治冲突、家族与国家暴力。,有可对应条目,7376,0.17421124828532236,有,有,97,有
极乐院女子高寮物语,主线,文类内百合,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,强行脱衣与内衣、裸露和身体羞辱、性化恶作剧、教师越界亲吻、未成年角色误饮酒、受影响状态下的接吻提议。,有可对应条目,7415,0.11487303506650544,有,有,85,有
随兴旅-That's Journey-,主线,文类内百合,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,创作受挫、旅行疲劳、朋友争执与和解。,有可对应条目,7422,0.02884742622733889,无,无,60,无
偶像大师 XENOGLOSSIA,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,是,相邻版本、范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实／强推断／读者解读,副线（非人 iDOL 被称为“男朋友”）,机战伤亡与破坏、背叛与团队分裂、强制实验和改造、权力不对等、人与有意识机器的明确恋爱。,有可对应条目,7430,0.03777777777777778,无,无,0,无
Love Live! Superstar!! 第三季,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,毕业与成员分离压力、竞赛与舞台失败、异国旅行、家庭冲突、姐妹关系破裂与修复、过度训练和公开演出压力。,有可对应条目,7488,0.06488659201837496,有,无,0,无
强袭魔女 OVA,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本、原作,出版渠道、可见宣传,正篇事实／强推断／读者解读,无,魔法军事战斗、未成年角色参战、模拟射击、内衣式服装设计。,有可对应条目,7493,0.09512578616352202,有,无,0,无
偶像选拔,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,选拔淘汰与舞台压力、亲人离世与心脏移植背景、竞争冲突、团队去留与公开表演焦虑,有可对应条目,7530,0.060263653483992465,有,无,0,无
噬魂师NOT！,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,是,范围内版本,故事／角色页,正篇事实／强推断／读者解读,副线,校园战斗、超自然威胁、受伤与精神控制、女子宿舍性化笑料、嫉妒与搭档选择压力、局部异性心动,有可对应条目,7539,0.08923569427771108,有,无,0,无
处刑少女的生存之道,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本、原作,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,计划处刑与欺骗、反复死亡、暴力威胁、权力不对等、嫉妒与浴场相关台词。,有可对应条目,7541,0.14501679731243,有,无,87,无
漫画少女,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,可见宣传,正篇事实、读者解读,无,短篇职场喜剧、写真与泳装、身体展示和裸照笑料、赶稿压力、漫画中的恋爱与成人题材玩笑。,有可对应条目,7544,0.05229993698802773,有,无,0,无
一叠间漫画咖啡屋生活！,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,卖肉与内衣／泳装情境、女高中生同住和宿舍劳动、身份误会与内疚、游戏与网络直播、家庭与学校压力；不涉及正篇确认交往,有可对应条目,7545,0.0563488016318205,无,无,44,无
突击莉莉 BOUQUET,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,—,—,正篇事实／强推断／读者解读,无,未成年战斗员与军事化教育、怪物袭击和战斗伤害、重要人物死亡与长期哀恸、失控及误伤恐惧、人工生命被实验和非人化、追捕与拘禁威胁、儿童形象角色死亡、精神幻象与自我憎恨、身体化笑料和集体沐浴画面。,有可对应条目,7619,0.1436111111111111,有,有,83,无
一骑当千,重要副线,文类外百合阅读,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,企划、范围内版本,出版渠道、可见宣传,正篇事实／强推断／读者解读,并列,裸露、爆衣、战败羞辱、格斗伤害、拷问、角色死亡、追随死亡意向、精神控制与命运强迫。,有可对应条目,7626,0.05230669265756985,有,无,0,无
美幸梦游仙境,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本,可见宣传,正篇事实／强推断／读者解读,无,高中生主角、裸露与性化笑料、持续拒绝、边界不对称、支配与胁迫场景,有可对应条目,7635,0.12038303693570451,无,有,78,有
鬼斩,主线,文类外百合阅读,局部,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实／强推断／读者解读,副线,超短篇战斗喜剧、夸张暴力、身体暴露、性暗示、饮酒笑料、男の娘与性别表现的喜剧化处理,有可对应条目,7647,0.05877803557617943,有,无,0,无
女武神驱动 美人鱼,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本,访谈／评论、故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,成人向裸露与性化接触、以性刺激触发战斗、监禁与强迫风险、身体控制、创伤、暴力和权力不对等,有可对应条目,7664,0.14031971580817051,有,有,94,有
玻璃之花与崩坏的世界,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,可见宣传,正篇事实／强推断／读者解读,无,病毒清除、失忆、虚拟世界消失、身份揭示、分离与牺牲。,有可对应条目,7676,0.06947890818858561,有,无,0,无
御神乐学园组曲,主线,文类内百合,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,故事／角色页,正篇事实／强推断／读者解读,副线,夸张的美少女求偶笑料、表亲单向追求、异能对战、受伤、背叛创伤与学园危机,有可对应条目,7688,0.08662741799831791,有,无,69,有
魔法少女特殊战明日香,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,战争与创伤、恐怖袭击、枪械与杀戮、酷刑和肢解、性暴力威胁、儿童虐待、校园欺凌、药物与强迫、残酷的战后动员；漫画后续不在范围内,有可对应条目,7707,0.050724637681159424,有,无,0,无
面包带来和平！,主线,文类内百合,局部,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本、原作,访谈／评论、出版渠道、可见宣传,正篇事实＋强推断＋读者解读,无,三分钟短篇节奏、身体和服装笑料、竞争性玩笑、未成年人角色的泳池与睡衣场景。,有可对应条目,7712,0.11342734518700184,有,无,0,无
圣痕炼金士,主线,文类外百合阅读,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,故事／角色页,正篇事实＋强推断＋读者解读,副线,成人向性化、乳房／圣乳机制、主从与身体控制、霸凌、非自愿或同意不明的亲密处境、未成年角色性化、暴力、死亡及宗教冲突。,有可对应条目,7771,0.0212708305107709,无,无,0,无
末世二轮之旅,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,末世灾变与可能的人类灭绝、危险骑行、枪械、AI 损坏、死亡记忆与亲人离散,有可对应条目,7798,0.04372958029655692,无,无,0,无
打了300年的史莱姆，不知不觉就练到了满级 第二季,主线,文类内百合,局部,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,异世界战斗、魔族与精灵危机、轻度身体变形和喜剧化危险、母女与姐妹关系、象征性姐妹婚礼，以及佩可拉希望与亚梓莎单独庆生的安排。,有可对应条目,7799,0.0888476329399284,有,无,40,无
穿透幻影的太阳,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,魔物袭击、战斗伤害、死亡与消失、家庭创伤、精神操纵、恶魔化和未成年人承担处刑任务。,有可对应条目,7802,0.06300034806822137,有,无,0,无
女子高中生,主线,文类内百合,缺席,非恋爱,单一主要关系记录,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,副线,无对白叙事、对未成年女高中生腿部与湿衣的性化笑料、男性角色的单集凝视与笨拙接近、轻微身体危险与日常恶作剧。,有可对应条目,7831,0.051601423487544484,有,无,0,无
简单易懂的现代魔法,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,访谈／评论、故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,魔法战斗与受伤、时间错位、未成年人遇险、泳装与身体笑料、同居家庭喜剧。,有可对应条目,7842,0.032017075773746,有,无,0,无
绝灭危愚少女,主线,文类外百合阅读,局部,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本、原作,访谈／评论、故事／角色页、可见宣传,正篇事实／强推断／读者解读,副线,超能力战斗、绑架、药物强化、能力实验、家庭排斥、自我消失愿望、失去身体与姐妹失联恐惧、身体检查相关性化玩笑。,有可对应条目,7868,0.09076923076923077,有,无,0,无
GO!GO!575,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,落水、弄湿制服与风筝惊吓等轻度事故笑点；留宿、共同洗澡、互相洗背和换衣的暧昧／窥探式喜剧；每话篇幅很短。,有可对应条目,7881,0.12442091330244871,有,无,0,无
22/7,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,偶像过劳与身体展示压力、家庭创伤、病弱与死亡、幸存者负罪感、解散、监视和制度控制。,有可对应条目,7914,0.04630160550458716,无,无,0,无
里世界郊游,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,是,所核未见,范围内版本、原作,出版渠道、故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,都市传说怪物、枪械与军事行动、失踪与死亡威胁、身体恐怖、心理创伤和危险求生,有可对应条目,7926,0.13953946073607557,有,有,70,无
刀使巫女 刻印一闪的灯火 OVA,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,刀剑战斗、荒魂追捕与受伤、医疗休养、敌我身份冲突和阶段性悬念。,有可对应条目,7931,0.0838150289017341,无,无,0,无
攀岩！ -Sport Climbing Girls-,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,运动伤病、竞技压力、身体展示、尖锐竞争语言。,有可对应条目,8016,0.04395604395604396,无,无,0,无
闪乱神乐 SHINOVI MASTER -东京妖魔篇-,主线,文类外百合阅读,局部,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／读者解读,副线,裸露、性化玩笑、非合意触摸、姐妹间性化表达、暴力与创伤,有可对应条目,8020,0.07410714285714286,有,无,0,无
魔法纪录 魔法少女小圆外传 2nd SEASON -觉醒前夜-,主线,文类内百合,局部,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,是,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,魔法战斗、死亡与失踪风险、悲伤与内疚、梦境和记忆操控、组织控制、强制招募、身份消除、创伤与牺牲。,有可对应条目,8063,0.0746571072319202,有,无,0,无
幻想玩偶,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本、原作,出版渠道、故事／角色页,正篇事实＋强推断＋读者解读,无,未成年角色参与幻想战斗、主人—Doll 权力不对等、人工人格与记忆控制、被遗弃经历、服务性服装与性化喜剧。,有可对应条目,8069,0.10027662517289074,有,无,0,无
一杆青空,主线,文类内百合,缺席,非恋爱,单一主要关系记录,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,访谈／评论、出版渠道、可见宣传,正篇事实＋强推断＋读者解读,无,运动失败、身体疲劳、新手自我怀疑、户外高尔夫与短篇篇幅限制。,有可对应条目,8074,0.04465161923454367,无,无,0,无
球咏,主线,文类内百合,局部,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,运动压力、停部经历、触身球及其他棒球伤害、战术责任和比赛失利。,有可对应条目,8093,0.10553129548762737,有,无,0,无
我，不是说了能力要平均值么！,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,是,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,副线,异世界战斗、失踪儿童与救援、泳装／洗澡等服务性内容、男性婚约压力。,有可对应条目,8146,0.08679858522129816,有,无,0,无
如果烧陶的话也做个马克杯吧,主线,文类内百合,局部,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本、原作,出版渠道、故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,亡母记忆、陶艺比赛与创作压力；第 1 话含恋爱双关但随后指向陶艺部；真人外景部分不在范围。,有可对应条目,8204,0.051086956521739134,有,无,0,无
花园里的吸血鬼,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,战争、枪击、吸血、身体变异、主要角色死亡、追捕、牺牲、悲剧性告别，以及年龄与权力差异,有可对应条目,8212,0.11123110151187905,有,无,0,无
ICE,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,无,末世、战争、身体恐怖、性化与强迫性情节、生殖实验、死亡和牺牲。,有可对应条目,8219,0.166270783847981,有,有,80,有
极限之心,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,竞技受伤、比赛与舞台压力、家庭与经济困难、过劳和失利后的情绪低落,有可对应条目,8226,0.07725694444444445,有,无,0,无
音乐少女,主线,文类内百合,缺席,非恋爱,单一主要关系记录,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实／读者解读,无,一名角色未经许可查看另一名角色的电脑内容，并反复贴近、催促；对方明确要求停止；怯场、公开演出压力与短期离别冲突。,有可对应条目,8269,0.12077922077922078,有,无,0,无
八月的灰姑娘棒球队,主线,文类内百合,局部,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,训练与比赛压力、运动受伤风险、队内责任、失败和自我怀疑。,有可对应条目,8293,0.09422694094226941,无,无,0,无
邪神与厨二病少女【世纪末篇】,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,出版渠道、可见宣传,正篇事实＋强推断＋读者解读,无,末世喜剧、反复谋杀企图、身体攻击、惩罚、强制性同居、权力不对等与地方宣传。,有可对应条目,8315,0.06375442739079103,有,无,0,无
斯特拉女子学院高等科C3部,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,生存游戏枪械、比赛受伤、团队冲突、心理失衡、泳装与洗浴等服务性演出,有可对应条目,8345,0.07339036470058533,有,无,60,无
和机器人啪啪啪能算在经验次数里吗？？,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,是,是,范围内版本、原作,访谈／评论、出版渠道、故事／角色页,正篇事实／强推断,无,成人性内容、裸露、买主与成人用机器人之间的所有权框架、身体接触；第 1–8 话完成字幕文本复核，未回看视频。,有可对应条目,8379,0.10838106722942417,有,有,98,有
魔法少女育成计划,主线,文类内百合,重要副线,明确女女交往关系,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,出版渠道、可见宣传,正篇事实／强推断／读者解读,副线,死亡游戏、血腥暴力、未成年人受害、背叛与操控、自杀、家庭暴力、怀孕角色死亡。,有可对应条目,8385,0.04522613065326633,无,无,0,无
绯弹的亚里亚AA,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,副线,枪械战斗、校园训练、身体检查与泳池服务性笑料、占有欲和竞争、战姊妹制度的前后辈权力差、男性角色的局部恋爱玩笑。,有可对应条目,8406,0.09781684150836405,有,无,70,无
苍之彼方的四重奏,主线,文类内百合,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,飞行运动的坠落与受伤风险、竞技压力、比赛服与泳装展示、改编压缩造成的角色背景跳跃。,有可对应条目,8448,0.04445908117898897,有,无,0,无
我们的七日战争,重要副线,文类外百合阅读,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,副线,家长控制与搬家压力、未成年角色参与危险逃避行动、移民拘留风险、网络曝光与中伤、关系秘密被公开、男性单恋与女女告白。,有可对应条目,8469,0.05949197860962567,有,无,58,无
闪乱神乐,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,是,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,高度性化服务、衣物破坏与战斗暴露、胸部触碰笑料、暴力与死亡威胁、操控／药物／人偶化暗示,有可对应条目,8482,0.05331088664421998,有,无,0,无
战国乙女～桃色Paradox～,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本,可见宣传,正篇事实／强推断／读者解读,副线,战斗、权力争夺、操纵、背叛、性化笑料、梦境与剧中剧边界,有可对应条目,8492,0.13123644251626898,有,无,50,无
魔法少女俺,重要副线,文类外百合阅读,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,并列,男性化变身、性别表现混淆、偶像压力、绑架威胁、魔法战斗与身体笑料。,有可对应条目,8508,0.049160379654417136,有,无,0,无
精灵使的剑舞,重要副线,非百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页,正篇事实／读者解读,主导,围绕男性主角的后宫式竞争与性暗示；魔法战斗、控制、身体伤害与姐妹冲突。,有可对应条目,8517,0.009142318567389255,无,无,0,无
因为太怕痛就全点防御力了。2,重要副线,文类外百合阅读,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,VRMMO 战斗、怪物与触手、变身和吞食式喜剧、竞技冲突、团队分散与危险任务。,有可对应条目,8563,0.05694865435840911,有,无,0,无
临时女友,主线,文类内百合,局部,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,校园日常、社团与比赛、泳装及身体笑料、英语恋爱措辞与摄影语境并置。,有可对应条目,8577,0.08967032967032967,有,无,0,无
蔚蓝反射 澪,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,—,—,正篇事实／强推断／读者解读,无,精神痛苦、情绪操纵、姐妹分离、失去与哀恸、战斗伤害。,有可对应条目,8580,0.12254641909814323,有,有,55,无
开阔天空！光之美少女,重要副线,文类外百合阅读,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,儿童向战斗、异世界危机、绑架与救援、家庭分离、身份与责任压力、部分服务性演出。,有可对应条目,8583,0.07269155206286837,无,无,80,无
歌声是千层派,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,社团冲突、沟通障碍、舞台压力、成员去留、能力差异和自卑。,有可对应条目,8621,0.07021604938271606,无,无,0,无
最近，妹妹的样子有点怪？,主线,非百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,主导,继兄妹恋爱语境、幽灵附身与共用身体、非对等身体边界、性化台词与装置。,有可对应条目,8629,0.025326714618579677,有,无,40,无
青春CUP,主线,文类外百合阅读,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,可见宣传,正篇事实／强推断／读者解读,副线,未成年角色内衣、身体凝视、偷窥／偷拍笑料、接触边界、体型评论、青春期羞耻与身体羞辱,有可对应条目,8654,0.07015902712815715,无,无,0,无
机战少女 Alice Expansion,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,失踪与救援、成年人研究机构的危险实验、科幻战斗、角色对亲近举动的恋爱式误解笑料、职场压力。,有可对应条目,8663,0.06184012066365008,有,无,0,无
任性HighSpec,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,副线,脱衣、内衣、胸部和性暗示笑料，强迫摆出接吻姿势，剧中女女告白。,有可对应条目,8675,0.034903047091412745,有,无,0,无
