作品名称,年份,媒介,纳入范围,女女关系位置,百合归档结论,女女恋爱位置,女女关系最高明确度,已确认女女关系数,关系叙事位置分布,关系恋爱明确度分布,关系相互性分布,已确认女女关系画像,官方字面百合／GL,官方女女恋爱表述,官方来源层级,官方来源位置,身份依据,男性恋爱线,结论置信度,明确女女交往,主线明确女女交往,主线明确女女欲望,明确女女欲望,接受未确认方向,女女关系主线,女女关系主线且无男性恋爱线,主线非恋爱且无男性恋爱线,四条以上已确认女女关系,至少一条双向关系,官方字面百合／GL（快捷查询）,官方女女恋爱表述（快捷查询）,内容提示标识,Bangumi 标签,Bangumi 地区标签,Bangumi 改编来源,Bangumi Rank,Bangumi 百合标签比例,分类日期,报告地址
通灵公主,1996,OVA,1996 年 6 月 25 日至 1998 年 6 月 25 日发行的 OVA 正篇第 1—6 集；与 Bangumi 25417、AniList 1182、MyAnimeList 1182 精确对应的 6 集版本；Bandai Channel 作品页、分话入口及完整英文 SSA 字幕文字,重要副线,非百合,缺席,非恋爱,2,重要副线 2,非恋爱 2,双向 2,蒂亚拉—莎拉（重要副线／非恋爱／双向）；蒂亚拉—蕾娜（重要副线／非恋爱／双向）,所核未见,是,当前版本,剧情／角色页、可见作品宣传,范围内无依据,主导,高,否,否,否,否,否,否,否,否,否,是,否,是,魔法战斗、重伤与死亡；身体变形、附身与精神操控；制度性献祭与拘禁；嫉妒、占有和强迫性威胁,奇幻,日本,原创,6766,0.012121212121212121,2026-08-16,https://l-m-sherlock.github.io/yuri-classification-archive/works/shamanic_princess_ova_1996/
あらいめんとゆーゆー THE ANIMATION,2008,OVA,Bangumi 条目 56686 在百合标签榜中列出的两集 OVA；第一集发行日为 2008-02-29，第二集公开资料列为 2008-05-23；本 OVA 的公开发行记录、官方出版语境、数据库条目和明确指向本版本的剧情简介,重要副线,文类外百合阅读,重要副线,明确欲望,2,重要副线 1、局部 1,明确欲望 2,相互性未确认 2,高桥尚子与樱子（厕所花子）之间的鬼怪／性化关系（重要副线／明确欲望／相互性未确认）；樱子与另一位花子（椿子）的鬼怪对抗与性化互动（局部／明确欲望／相互性未确认）,所核未见,所核未见,原作,出版载体,只有明确关系事实,并列,中,否,否,否,是,是,否,否,否,否,否,否,否,成人向色情 OVA，含露骨性描写，不适合未成年人；鬼魂、校园和性化互动并置；包含异性恋慕与女性间性化场面；公开资料提到变性／双性特征、触手和可能的同意状态不明；本报告不把性行为自动等同于恋爱；本次没有可同步的字幕和视频，不能确认每场接触的主动方、镜头顺序或完整同意过程；不要从女女性化呈现、AniList 的 LGBTQ+ Themes 标签或成人作品类型推断角色的性取向身份,,,,6778,0.09703504043126684,2026-08-02,https://l-m-sherlock.github.io/yuri-classification-archive/works/alignment_yuyu_animation_ova_2008/
放学后桌游俱乐部,2019,TV 动画,2019 年电视动画《放課後さいころ倶楽部》播出正篇第 1–12 话；对应的官方 TV 首页、人物页、逐话梗概及 2019 TV 数据库条目,主线,文类内百合,缺席,非恋爱,3,主线 2、重要副线 1,非恋爱 3,双向 3,武笠美姫与高屋敷綾的桌游搭档与友情（主线／非恋爱／双向）；美姫、綾、翠与艾米莉亚的女性桌游伙伴共同体（主线／非恋爱／双向）；大野翠与艾米莉亚围绕游戏设计的友谊与竞争（重要副线／非恋爱／双向）,所核未见,是,当前版本,剧情／角色页、可见作品宣传,范围内无依据,副线,中,否,否,否,否,否,是,否,否,否,是,否,是,美姫的社交退缩、孤独感与校园排斥；第 5 话的温泉、泳装和旅行情境；家庭沟通压力、父亲长期在外工作与朋友安慰；文化祭、比赛和公开活动带来的紧张与失败；男同学对女角色的局部单向好感,日常、校园,日本,漫画改,6790,0.042177361211247294,2026-08-07,https://l-m-sherlock.github.io/yuri-classification-archive/works/saikoro_club_tv_2019/
比基尼勇士 OVA,2016,OVA,Bangumi subject 187800 的 OVA 第 1 话（全局第 14 话，2016-12-07）：クノイチ忍法帖 秘蜜のしたたり；Bangumi subject 187800 的 OVA 第 2 话（全局第 15 话，2016-12-07）：これが伝説の防具を手に入れた勇者たちの姿である；Bangumi subject 187800 的 OVA 第 3 话（全局第 16 话，2017-12-07）：フィギュアだけでは伝えきれない魅力を映像化してみた；Bangumi subject 187800 的 OVA 第 4 话（全局第 17 话，2018-07-27）：勇者には常に理不尽なイベントがつきまとうものである；Bangumi subject 187800 的 OVA 第 5 话（全局第 18 话，2018-07-27）：ビキニ・オブ・ザ・デッド；Bangumi subject 187800 的 OVA 第 6 话（全局第 19 话，2021-05-17）：普通の女子高生が異世界でブラックナイトになって淫税生活を目指してみた,主线,文类外百合阅读,重要副线,明确欲望,4,主线 1、重要副线 1、局部 2,明确欲望 2、潜在恋爱 1、非恋爱 1,双向 1、单向 2、相互性未确认 1,牧师与同行女战士之间的性化接触与欲望（局部／明确欲望／单向）；死灵法师对黑暗骑士的单向仰慕与搭档关系（重要副线／潜在恋爱／单向）；女性冒险者群体之间的身体欲望与性幻想（局部／明确欲望／相互性未确认）；四名女性冒险者的共同战斗与伙伴共同体（主线／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页,只有明确关系事实,无,中,否,否,否,是,是,是,是,否,是,是,否,否,sexualized_nudity_and_ecchi_fanservice；nonconsensual_or_coercive_sexual_touching；same_sexual_desire_and_erotic_fantasy；fantasy_combat_and_undead_possession,,,原创,6869,0.02849740932642487,2026-08-16,https://l-m-sherlock.github.io/yuri-classification-archive/works/bikini_warriors_ova_2016/
红白黑黄 第五季,2017,WEB 动画,2017 年 10 月 14 日至 2018 年 1 月 20 日在 Rooster Teeth 网站首发的 Volume 5 正式第 1—14 章；与十四章逐话对应的第三方简体中文 ASS 主对白轨，并以同文件英语主对白轨交叉核对关键短句；Rooster Teeth 同期官方 Volume 5 预告及 Bangumi、RWBY Wiki 的精确版本资料,主线,文类内百合,重要副线,明确欲望,7,主线 1、重要副线 6,明确欲望 1、潜在恋爱 1、非恋爱 5,双向 4、单向 1、相互性未确认 2,Team RWBY 四人的团队、友情与选择家庭（主线／非恋爱／双向）；Blake Belladonna—Yang Xiao Long 的队友关系、分离伤口与潜在恋爱方向（重要副线／潜在恋爱／相互性未确认）；Blake Belladonna—Ilia Amitola 的旧友、政治冲突与 Ilia 单向欲望（重要副线／明确欲望／单向）；Ruby Rose—Yang Xiao Long 的姐妹关系（重要副线／非恋爱／双向）；Weiss Schnee—Yang Xiao Long 的重逢、支持与选择家庭（重要副线／非恋爱／双向）；Yang Xiao Long—Raven Branwen 的母女、抛弃与价值冲突（重要副线／非恋爱／双向）；Raven Branwen—Vernal 的首领、部属与少女身份障眼法（重要副线／非恋爱／相互性未确认）,所核未见,所核未见,当前版本,可见作品宣传,只有明确关系事实,副线,高,否,否,否,是,是,是,否,否,是,是,否,否,幻想武器、怪物袭击、爆炸和战斗伤害；角色死亡、重伤和创伤反应；针对 Faunus 的歧视、政治暴力与 White Fang 内部夺权；胁迫、操纵、背叛和家庭控制；Adam 对 Blake 的跟踪、威胁与暴力；父母抛弃、婚姻利用、酒精依赖和家庭创伤,战斗,欧美、美国,原创,6901,0.0367170626349892,2026-08-07,https://l-m-sherlock.github.io/yuri-classification-archive/works/rwby_volume_5_web_2017/
刀使的巫女,2018,TV 动画,2018年1月5日至6月22日播出的TV动画正篇第1—24话；范围内版本的官方作品介绍、逐话故事页、官方关系图和公开数据库条目,主线,文类内百合,主线,潜在恋爱,8,主线 2、重要副线 5、局部 1,潜在恋爱 5、非恋爱 3,双向 5、单向 1、相互性未确认 2,卫藤可奈美—十条姬和（主线／潜在恋爱／双向）；柳濑舞衣—糸见沙耶香（重要副线／非恋爱／双向）；古波藏艾莲—益子薰（重要副线／潜在恋爱／相互性未确认）；六名主要刀使的共同体（主线／非恋爱／双向）；柊篝—藤原美奈都（重要副线／非恋爱／双向）；柳濑舞衣—卫藤可奈美（重要副线／潜在恋爱／相互性未确认）；五条伊吕波—藤原美奈都（局部／潜在恋爱／单向）；狮童真希—皋月夜见（重要副线／潜在恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有关系推断,无,高,否,否,否,否,是,是,是,否,是,是,否,否,长期战斗、刀剑伤害、死亡与大规模灾厄；角色被荒魂力量控制、强迫改造或操纵意志；复仇、家族创伤、母亲牺牲和历史被抹除；第21—24话包含失踪、分离、牺牲风险与情绪性告别；全女性战斗队伍和共同承担不能直接推出恋爱或角色性取向,战斗,日本,原创,6908,0.1121898597626753,2026-08-07,https://l-m-sherlock.github.io/yuri-classification-archive/works/toji_no_miko_tv_2018/
失忆煽动WIXOSS,2016,TV 动画,2016 年秋季播出的 Lostorage incited WIXOSS TV 正篇第 1–12 话；2016 年动画官网在范围内公开的故事简介、人物关系和版本宣传；穗村铃子、森川千夏、御影汉娜、莉露及相关少女关系在本季中的叙事位置,主线,文类内百合,主线,潜在恋爱,4,主线 2、重要副线 2,潜在恋爱 1、非恋爱 3,双向 3、相互性未确认 1,穗村铃子—森川千夏（主线／潜在恋爱／相互性未确认）；穗村铃子—御影汉娜（重要副线／非恋爱／双向）；穗村铃子—莉露（LRIG）（主线／非恋爱／双向）；御影汉娜—那奈（LRIG）与少女 Selector 网络（重要副线／非恋爱／双向）,所核未见,是,当前版本,剧情／角色页、可见作品宣传,只有关系推断,副线,高,否,否,否,否,是,是,否,否,是,是,否,是,以记忆硬币为代价的高压卡牌战斗和人格／身体置换；校园孤立、家庭经济压力、霸凌、操控与强迫参战；铃子与千夏之间的依赖、嫉妒、决裂、记忆抹除与关系创伤；少女角色的败北、失忆、死亡风险和持续心理痛苦；白井翔平对千夏的单向倾慕及其介入战斗的男性恋爱副线；汉娜取回记忆后面对弟弟死亡原因的创伤,,日本,原创,6940,0.09133709981167608,2026-08-07,https://l-m-sherlock.github.io/yuri-classification-archive/works/lostorage_incited_wixoss_tv_2016/
侦探歌剧 少女福尔摩斯 TD,2015,TV 动画,2015 年 1 月 3 日至 3 月 28 日播出的《探偵歌劇 ミルキィホームズ TD》TV 正式第 1–12 话；官方 TD 版本简介、公开分话目录及本版本数据库条目,主线,文类内百合,重要副线,潜在恋爱,5,主线 2、重要副线 1、局部 2,潜在恋爱 1、非恋爱 4,双向 5,Milky Holmes 四人团队（主线／非恋爱／双向）；天城茉莉音—北条美树（重要副线／潜在恋爱／双向）；Milky Holmes—天城茉莉音（主线／非恋爱／双向）；Milky Holmes—明智小衣（局部／非恋爱／双向）；天城茉莉音—卡萝尔、奥斯卡与诺瓦尔（局部／非恋爱／双向）,所核未见,所核未见,当前版本,出版载体、剧情／角色页、可见作品宣传,只有关系推断,副线,高,否,否,否,否,是,是,否,否,是,是,否,否,偶像行业压力、中心位置竞争和舞台事故风险；歌声与身体被夺取、控制或封锁的超能力情节；案件中的绑架、追逐、危险游戏与夸张喜剧暴力；队友争执、被排除感与关系修复；茉莉音对已故母亲和童年歌曲的回忆；第 8 话包含嫉妒、单向爱慕与异性求婚的局部副线,,日本,原创,6952,0.08401084010840108,2026-08-08,https://l-m-sherlock.github.io/yuri-classification-archive/works/milky_holmes_td_tv_2015/
我家师傅没有尾巴,2022,TV 动画,2022 年 TV 动画《うちの師匠はしっぽがない》正篇第 1–13 话；官方 TV 宣传与播出资料、分话剧情简介，以及与本条目准确对应的公开数据库页面；正篇中豆狸まめだ、大黑亭文狐、椿しらら及春来亭女性落语共同体的关系事实,主线,文类内百合,主线,潜在恋爱,3,主线 1、重要副线 2,潜在恋爱 1、非恋爱 2,双向 3,まめだ与大黑亭文狐的师徒关系（主线／潜在恋爱／双向）；まめだ与椿しらら的同门关系（重要副线／非恋爱／双向）；春来亭女落语家共同体（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有关系推断,无,中,否,否,否,否,是,是,是,否,否,是,否,否,师徒权力差与破门惩戒；落语行业竞争、债务与经济压力；绑架、诬陷、勒索与犯罪威胁；舞台表演压力与职业淘汰焦虑；部分落语段子涉及成人关系、花街或历史性别语境,日常,日本,漫画改,6956,0.05343889163780307,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/my_master_has_no_tail_tv_2022/
一骑当千 XTREME XECUTOR,2010,TV 动画,2010 年 3 月 26 日至 6 月 11 日播出的《一騎当千 XTREME XECUTOR》TV 第 1–12 话；与该 12 话版本匹配的完整中文 ASS 对白，以及范围内官方作品概要、故事概要和逐话简介,主线,文类内百合,重要副线,潜在恋爱,7,主线 1、重要副线 4、局部 2,潜在恋爱 2、非恋爱 5,双向 4、单向 1、相互性未确认 1、不适用 1,刘备玄德与关羽云长（重要副线／非恋爱／双向）；关羽云长与吕蒙子明（重要副线／潜在恋爱／相互性未确认）；孙策伯符与马超孟起（重要副线／非恋爱／不适用）；关羽云长与张飞益德（重要副线／非恋爱／双向）；刘备玄德与孟优（局部／非恋爱／双向）；大斗士大会中的女性斗士群体（主线／非恋爱／双向）；吕布奉先与吕蒙子明（局部／潜在恋爱／单向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有关系推断,副线,高,否,否,否,否,是,是,否,否,是,是,否,否,成人向性化呈现、裸露、衣物撕裂和身体暴露；格斗伤害、死亡威胁、绑架、人质处境和战败羞辱；精神操控、前世怨念、龙之力和被迫战斗；女性斗士之间的宿敌、占有式执着和权力不对称；不能自动改写为双方同意的恋爱；男性角色周瑜与孙策的亲缘／亲密背景作为副线出现，不取代女女关系主线,,日本,漫画改,6985,0.06821378340365682,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/ikki_tousen_xtreme_xecutor_tv_2010/
魔法少女奈叶ViVid,2015,TV 动画,2015 年 TV 动画《魔法少女リリカルなのはViVid》正式播出的第 1–12 话；本 TV 版官网的故事、角色、制作与播出资料,主线,文类内百合,主线,潜在恋爱,6,主线 2、重要副线 4,潜在恋爱 2、非恋爱 4,双向 6,高町薇薇欧—艾茵哈特·斯特拉托斯（主线／潜在恋爱／双向）；薇薇欧—珂罗娜—莉奥的同学与训练伙伴关系（主线／非恋爱／双向）；诺威与薇薇欧等学生的教练与照护关系（重要副线／非恋爱／双向）；奈叶—菲特—薇薇欧的家庭共同体（重要副线／非恋爱／双向）；艾茵哈特—珂罗娜的同门竞争（重要副线／非恋爱／双向）；高町奈叶—菲特·泰斯特罗莎·哈洛温（重要副线／潜在恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有关系推断,副线,高,否,否,否,否,是,是,否,否,是,是,否,否,儿童与青少年魔法格斗、训练和比赛伤害；幼年角色的成人化变身、洗澡和身体展示镜头；家人失去、古代记忆和战斗创伤；师生与教练关系、养女和母亲式家庭称谓不能直接当作恋爱；角色性取向身份不作为本档案的已确认字段记录,,日本,漫画改,6994,0.08706952566601689,2026-08-07,https://l-m-sherlock.github.io/yuri-classification-archive/works/nanoha_vivid_tv_2015/
NEKOPARA,2020,TV 动画,2020 年 1 月 9 日至 3 月 26 日播出的电视动画《ネコぱら》正篇第 1–12 话；官方 TV 介绍、人物资料、逐话资料及直接对应此 TV 版的英文字幕文本；Bangumi subject 270274、AniList 106863、MyAnimeList 38924 和 Anime-Planet 精确条目的版本与分类字段,主线,文类外百合阅读,重要副线,明确欲望,6,主线 1、重要副线 5,明确欲望 1、潜在恋爱 1、非恋爱 4,双向 5、单向 1,Minaduki 家女性共同体与 La Soleil 协作（主线／非恋爱／双向）；巧克力与香草的双胞胎亲密及香草的欲望笑料（重要副线／明确欲望／单向）；椰子与红豆的姐妹竞争、保护与修复（重要副线／非恋爱／双向）；枫与桂的梦想支持及潜在恋爱阅读（重要副线／潜在恋爱／双向）；巧克力、香草与可可的照料和选择家庭（重要副线／非恋爱／双向）；猫娘群体与时雨的饲主、家庭与照料关系（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,出版载体、剧情／角色页、可见作品宣传,只有明确关系事实,副线,中,否,否,否,是,是,是,否,否,是,是,否,否,人类与猫娘的饲主、家庭成员和店铺劳动关系；女性猫娘围绕男性店主的服务与依赖框架，以及数条单向好感／欲望笑料；双胞胎之间的性化幻想笑料，以及时雨对兄长的越界欲望笑料；走失幼猫、暴风雨、家庭争执、比赛竞争与情绪低落,后宫、日常,日本,游戏改,7002,0.025390625,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/nekopara_tv_2020/
宅饮。,2018,TV 动画,2018年1月11日至3月29日播出的电视动画《たくのみ。》正式第1–12话；TBS官方首页、逐话梗概和人物页中与本电视版本直接对应的资料,主线,文类内百合,缺席,非恋爱,3,主线 1、重要副线 2,非恋爱 3,双向 3,天月满与春野屋三位女性合租者的生活共同体（主线／非恋爱／双向）；桐山直与桐山真的姐妹关系（重要副线／非恋爱／双向）；满与香枝的年长者照料和饮酒搭档（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,出版载体、剧情／角色页、可见作品宣传,范围内无依据,无,高,否,否,否,否,否,是,是,是,否,是,否,否,成年角色饮酒、醉酒和以酒精为日常社交媒介；第5话的更衣、裸体联想和年龄／身材差异身体笑料；职场压力、求职挫折和成年生活焦虑；女性专用合租屋的隐私与生活边界喜剧；不能把共同饮酒、姐妹关系或合租共同体自动读作恋爱,日常、美食,日本,漫画改,7031,0.08524590163934426,2026-08-02,https://l-m-sherlock.github.io/yuri-classification-archive/works/takunomi_tv_2018/
装神少女小缠,2016,TV 动画,2016 年 TV 动画《装神少女まとい》正式播出第 1–12 话；AnimeTosho 所列 DameDesuYo 英文 ASS 定时文本第 1–12 话，仅用于台词文字与时间定位；官方首页及故事页的本 TV 版名称与 12 话导航,主线,文类内百合,重要副线,潜在恋爱,4,主线 3、重要副线 1,潜在恋爱 1、非恋爱 3,双向 3、相互性未确认 1,皇缠与草薙由麻（主线／非恋爱／双向）；皇缠与皇诗织（主线／非恋爱／双向）；皇缠、草薙由麻与克拉露丝（主线／非恋爱／双向）；克拉露丝与弗洛丝（重要副线／潜在恋爱／相互性未确认）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有关系推断,副线,高,否,否,否,否,是,是,否,否,是,是,否,否,fantasy_violence_and_injury；family_separation_and_grief；religious_rituals_and_possession；threats_and_supernatural_horror,,日本,原创,7045,0.02976394115634622,2026-08-08,https://l-m-sherlock.github.io/yuri-classification-archive/works/soushin_shoujo_matoi_tv_2016/
一骑当千 Dragon Destiny,2007,TV 动画,2007 年 2 月 26 日至 5 月 14 日播出的《一騎当千 Dragon Destiny》TV 第 1–12 话；2007 年版本官方作品页、故事页、角色页和播出信息页可核对的本季事实；Bangumi subject 4840、AniList 1956、MyAnimeList 1956 及 Anime-Planet 精确条目的版本与标签字段,主线,文类内百合,重要副线,潜在恋爱,5,主线 2、重要副线 3,潜在恋爱 2、非恋爱 3,双向 2、单向 1、相互性未确认 2,关羽云长与刘备玄德（重要副线／潜在恋爱／相互性未确认）；关羽云长与张飞益德（主线／非恋爱／双向）；曹操孟德与关羽云长（重要副线／潜在恋爱／单向）；吕蒙子明与刘备玄德（重要副线／非恋爱／相互性未确认）；南阳、成都与许昌的女性斗士共同体（主线／非恋爱／双向）,所核未见,是,当前版本,出版载体、剧情／角色页、可见作品宣传,只有关系推断,副线,中,否,否,否,否,是,是,否,否,是,是,否,是,成人向裸露、爆衣、衣物撕裂、身体性化和战败羞辱；格斗伤害、重伤、死亡威胁、处刑传闻与大规模战斗；绑架、拷问、人质处境、精神操控和龙之力导致的非自愿战斗；曹操对关羽的占有式执着与支配关系；不能改写成双方同意的恋爱；学校势力和前世命运造成的权力不对等、复仇和同伴牺牲；周瑜对孙策的异性恋方向作为局部背景线出现，不取代女性斗士关系主线,,日本,漫画改,7052,0.050837666088965915,2026-08-02,https://l-m-sherlock.github.io/yuri-classification-archive/works/ikki_tousen_dragon_destiny_tv_2007/
妖幻三重奏,2023,TV 动画,2023 年 TV 动画《あやかしトライアングル》正篇第 1–12 话；动画官网首页、角色页和第 12 话故事页，用于核对本版公开设定与恋爱表述；Jimaku 条目 370 中与本版 AniList 142849 相符的 12 份 Netflix 日文 SRT，用于对白和时间码定位,重要副线,非百合,缺席,非恋爱,1,重要副线 1,非恋爱 1,双向 1,花奏铃、月丘弥生与二ノ曲露西的同学友情（重要副线／非恋爱／双向）,所核未见,是,当前版本,剧情／角色页、可见作品宣传,范围内无依据,并列,高,否,否,否,否,否,否,否,否,否,是,否,是,性别转换与围绕身体变化的喜剧；性化身体笑料；没有同步视频，不能由字幕完整复原画面呈现；妖怪吞食风险、袭击、战斗与受伤；祭里与铃有双向恋爱方向，但双方正式告白和交往未在本版范围确立,奇幻,日本,漫画改,7067,0.0495328750220342,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/ayakashi_triangle_tv_2023/
一骑当千 Great Guardians,2008,TV 动画,2008 年 6 月 11 日至 8 月 27 日播出的《一騎当千 Great Guardians》TV 第 1–12 话；本季官方作品页、故事页、逐话简介与角色页可核对的版本事实；Bangumi subject 4841、AniList 1955、MyAnimeList 1955 及 Anime-Planet 精确条目的版本与标签字段,主线,文类内百合,重要副线,明确欲望,5,主线 2、重要副线 3,明确欲望 1、潜在恋爱 2、非恋爱 2,双向 2、相互性未确认 3,关羽云长与刘备玄德（重要副线／明确欲望／相互性未确认）；刘备玄德与吕布奉先（重要副线／潜在恋爱／相互性未确认）；吕蒙子明与吕布奉先（重要副线／潜在恋爱／相互性未确认）；成都学园女斗士共同体（主线／非恋爱／双向）；南阳与成都等女性斗士群体（主线／非恋爱／双向）,所核未见,是,当前版本,剧情／角色页,只有明确关系事实,副线,高,否,否,否,是,是,是,否,否,是,是,否,是,成人向性化呈现、裸露、泳装与衣物撕裂，以及以身体暴露作为战斗和喜剧效果；格斗伤害、死亡威胁、绑架、失踪、战败羞辱和超自然力量导致的非自愿行动；幻术、精神操控、前世怨念、身体被侵入感和角色失去行动自主；关羽—刘备的嫉妒与三角式张力、吕布—吕蒙的宿命战包含权力和暴力不对等，不能自动改写为双方同意的恋爱；周瑜对孙策的好意作为男性—女性背景线出现，不取代女女关系主线,,日本,漫画改,7100,0.043451652386780906,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/ikki_tousen_great_guardians_tv_2008/
因为太怕痛就全点防御力了。,2020,TV 动画,2020 年 1 月 8 日至 3 月 25 日播出的 TV 动画第 1–12 话正篇；正篇中梅普露、莎莉、楓の木公会及其队员的游戏关系与共同冒险,主线,文类内百合,缺席,非恋爱,4,主线 1、重要副线 2、局部 1,非恋爱 4,双向 4,梅普露—莎莉的现实朋友与游戏搭档关系（重要副线／非恋爱／双向）；楓の木中以梅普露、莎莉为核心的女女关系网络（主线／非恋爱／双向）；迈伊—优伊的双胞胎姐妹关系（局部／非恋爱／双向）；楓の木成员与其他公会女性玩家的竞技关系（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,范围内无依据,无,高,否,否,否,否,否,是,是,是,是,是,否,否,virtual_game_battles_and_monster_attacks；competitive_events_and_guild_conflict；poison_and_body-horror_comedy；temporary danger and defeat,战斗,日本,小说改,7112,0.040363472061850494,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/bofuri_tv_2020/
结城友奈是勇者 啾噜！,2021,TV 动画,2021 年 4 月 9 日至 6 月 25 日播出的 TV 正篇第 1–12 话；本季官方作品页、故事简介、播出资料与本版本公开数据库条目；官方简介中神树内部世界、赞州中学勇者部及其 27 名勇者与巫女的群体关系,主线,文类内百合,缺席,非恋爱,2,主线 2,非恋爱 2,双向 2,赞州中学勇者部的少女共同体（主线／非恋爱／双向）；勇者部成员之间的轮换搭档与共同活动（主线／非恋爱／双向）,所核未见,所核未见,当前版本,出版载体、剧情／角色页、可见作品宣传,范围内无依据,无,高,否,否,否,否,否,是,是,是,否,是,否,否,短篇喜剧将系列角色压缩为夸张反应、料理和群体玩笑，不能把每个配对段落当作完整关系弧；神树内部世界与勇者企划的背景可能包含战斗、组织召集和系列既有的身体代价暗示；本短篇本身以轻喜剧方式呈现；全女勇者与巫女阵容、姐妹关系和共同活动不等于恋爱关系或角色性取向身份明示；与系列其他版本共享角色，不代表其他版本的恋爱或创伤剧情属于本 12 话,,日本,原创,7122,0.07310469314079422,2026-08-07,https://l-m-sherlock.github.io/yuri-classification-archive/works/yuuki_yuuna_churutto_tv_2021/
公主的管弦乐团,2025,TV 动画,2025 年 4 月 6 日至 2026 年 3 月 29 日播出的电视动画《プリンセッション・オーケストラ》正篇第 1—48 话；与 Bangumi 499169、AniList 178052、MyAnimeList 59078 和 Jimaku 9407 精确对应的已完结电视动画版本,主线,文类内百合,主线,潜在恋爱,5,主线 2、重要副线 2、局部 1,潜在恋爱 1、非恋爱 4,双向 4、相互性未确认 1,空野みなも／Princess Ripple—阳ノ下なつ（主线／潜在恋爱／相互性未确认）；空野みなも—識辺かがり—一条ながせ及后加入的风花姐妹（主线／非恋爱／双向）；风花すみれ—风花りり（重要副线／非恋爱／双向）；Princess Sink—Princess Haqua（重要副线／非恋爱／双向）；一条ながせ—根津あいこ（局部／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页,只有关系推断,无,中,否,否,否,否,是,是,是,否,是,是,否,否,幻想战斗、儿童遇险与怪物威胁；角色消失、失落与死亡回忆；姐妹冲突、创伤利用与短暂敌对；喜剧式占有、嫉妒和约会措辞,音乐,日本,原创,7128,0.002572898799313894,2026-08-16,https://l-m-sherlock.github.io/yuri-classification-archive/works/princess_session_orchestra_tv_2025/
摇滚乃是淑女的爱好,2025,TV 动画,2025 年 4 月至 6 月播出的电视动画第 1–13 话；官方电视动画网站的 13 话故事梗概、人物页与版本资料；Jimaku 条目 9378 提供的第 1–13 话日文 SRT 字幕文本；本季中铃之宫莉莉莎、黑铁音羽、院濑见蒂娜、白矢环等女学生的乐队、竞争与共同成长关系,主线,文类内百合,主线,明确欲望,7,主线 2、重要副线 3、局部 2,明确欲望 1、潜在恋爱 3、非恋爱 3,双向 5、单向 2,铃之宫莉莉莎与黑铁音羽（主线／潜在恋爱／双向）；莉莉莎与院濑见蒂娜（重要副线／潜在恋爱／双向）；黑铁音羽与白矢环（重要副线／潜在恋爱／单向）；莉莉莎、音羽、蒂娜与环的乐队共同体（主线／非恋爱／双向）；铃之宫莉莉莎与铃之宫爱莉珠（重要副线／非恋爱／双向）；铃之宫爱莉珠与姬岛日和（局部／非恋爱／双向）；院濑见蒂娜与仰慕她的女学生群体（局部／明确欲望／单向）,所核未见,所核未见,当前版本,可见作品宣传,只有明确关系事实,无,高,否,否,否,是,是,是,是,否,是,是,否,否,激烈的乐队争执、粗口和带攻击性的手势；家庭再婚、阶层压力与继姐妹之间的敌意；舞台竞争、失败、退队威胁和对自我价值的否定；人物之间的夸张支配／服从玩笑、性化镜头和性骚扰情节；不将其笼统归为关系价值判断,音乐,日本,漫画改,7135,0.07189934092270821,2026-08-07,https://l-m-sherlock.github.io/yuri-classification-archive/works/rock_is_a_ladys_hobby_tv_2025/
变身圣诞老人,2025,TV 动画,2025 年 10 月 3 日至 12 月 19 日播出的电视动画正篇第 1—12 话；与 Bangumi 503303、AniList 179302、MyAnimeList 59267 及 Anime-Planet 精确对应的已完结电视版本,主线,文类内百合,主线,明确欲望,1,主线 1,明确欲望 1,相互性未确认 1,冬村四织—小野一会的亲友关系与不对称恋爱欲望（主线／明确欲望／相互性未确认）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有明确关系事实,副线,中,否,否,是,是,是,是,否,否,否,否,否,否,校园暴力与刀具伤害；未成年人性与身体话题；死亡、失去与强烈哀伤,奇幻、战斗,日本,漫画改,7168,0.001490035388340473,2026-08-16,https://l-m-sherlock.github.io/yuri-classification-archive/works/sanda_tv_2025/
